item_id,attribute_list
33,5100 5099 5723 272 663 5105 4126 5575 5724 4306
34,9817 17381 10060 8023 17911 17854 16856 17259 8572 9790
35,1189 9941 2575 1709 4023 3994 6118 1715 6103 1661
36,271 12765 7264 3890 16114 6210 84 12563 11815 11208
37,550 2152 489 2192 2183 482 587 2109 677 2121
38,4265 6063 1551 1554 6071 1569 4055 1607 6039 6041
39,9527 12465 16220 13606 12138 12872 17245 14899 6349 17420
40,3560 4088 5580 14955 5577 14998 952 5819 14259 6530
41,4887 2987 1185 677 2200 2121 2192 2152 2183 2109
42,8683 10048 8769 14349 10571 8441 9087 14347 1569 10566
43,8326 17308 8054 17830 17751 14037 17307 17393 10238 17759
44,12820 12825 12807 12748 1446 11324 6623 12402 6624 6823
45,758 1890 8986 8920 8942 8944 8946 8955 8974 8976
46,10943 6354 7001 4887 2987 12473 12807 6724 14704 2790
47,17631 9658 3569 11759 9657 9649 13692 3573 13030 2141
48,758 1890 7964 3848 3847 13758 1619 13755 7973 7968
49,6678 13277 3029 13293 6661 6667 13281 3026 6646 13279
50,84 6210 12765 16114 3890 15785 14448 1117 14923 14456
51,6516 6507 6525 6524 6517 6542 6511 6490 6499 6543
52,4265 4795 16737 10210 16745 6376 6379 16751 14953 10197
53,3632 10348 13274 14405 8603 17584 2746 13277 3631 8184
54,2008 7057 7054 17729 8139 17737 13220 17740 12141 4269
55,15971 6724 1245 12834 14851 2720 14139 1581 1542 12830
56,14341 14998 921 952 15300 947 6292 6356 14285 12740
57,4659 5196 14491 5027 4413 5388 5030 1421 4412 5780
58,6188 2575 15039 325 14884 9941 11840 10948 17395 1189
59,9392 1890 758 5209 5317 5013 4667 5130 5207 5388
60,1890 9392 758 13237 15646 16875 17343 13884 3957 14652
61,9392 5212 4265 8326 955 248 516 953 517 4770
62,2843 5250 14060 10338 13576 5367 12943 10943 13237 7001
63,3188 13691 756 14818 3902 13227 17019 7364 12711 392
64,325 14751 16429 2575 3759 11453 1059 11840 11501 3853
65,4719 14109 14500 1633 1205 1446 14473 14107 1459 2424
66,6210 3890 7264 84 4265 7681 12765 16114 10338 5367
67,17308 6293 17411 6292 15145 14998 17740 14315 15300 17307
68,10976 597 17339 1433 7305 5823 149 15965 5643 11273
69,2204 2178 14107 14500 12748 12402 12830 14473 14109 12807
70,16342 11057 13231 9392 10660 8270 8144 8435 2770 5275
71,758 12086 12059 434 9695 439 17203 9686 12095 12092
72,6112 6139 6118 6103 4265 8319 8308 13267 6046 13274
73,4265 8360 757 2062 12187 5213 5221 5209 15347 5207
74,17729 17911 8572 9849 9846 9817 9790 17307 17308 9895
75,5403 1890 758 11462 11489 677 5090 11576 11558 11587
76,4304 4322 5902 4280 4293 4299 5972 4306 4393 4376
77,4719 13231 8326 10137 4980 6129 8627 8270 11334 1986
78,12456 9941 1189 14004 2575 14884 15039 6188 10948 6461
79,5185 6696 5902 5900 1446 14838 15383 5186 5196 480
80,9392 5212 13237 11262 5245 15965 3707 1433 6223 5823
81,12752 3231 10586 3786 3235 17254 2376 8557 17268 13942
82,12820 12748 12807 12825 5212 9392 4719 14139 1205 2762
83,11057 2538 14500 2558 2544 2587 14491 2464 2649 2456
84,14109 14107 14642 14448 12575 15230 6530 15300 1117 12548
85,5300 5299 5972 5305 638 293 5974 291 4495 1176
86,4265 13231 17273 5275 5794 8435 10137 3817 3572 8270
87,9392 1185 5212 2987 4887 13231 5733 4743 4742 13738
88,7001 10943 6354 758 1890 5212 9392 2987 4887 1185
89,13231 9392 5212 3605 3607 5433 17908 8187 552 16319
90,482 2027 2152 677 434 550 2183 587 439 489
91,11057 4265 14060 13576 10338 5250 5367 2843 7305 149
92,758 1890 15039 6188 1059 11157 4395 11840 13878 14884
93,7715 17228 12820 16115 12825 12807 16057 16105 16079 12748
94,17907 7423 8281 14109 14107 17911 14102 8139 17308 17618
95,13237 11815 11835 7036 11776 11778 10849 7693 7050 11764
96,10500 3659 2204 2178 10338 14060 5367 13576 5250 2843
97,14259 1005 12740 5963 6404 14261 12665 12686 15831 5819
98,14625 7679 8558 14622 7684 16260 1843 3648 10831 16255
99,7001 10943 6354 1890 758 1720 4077 1722 6118 4029
100,8614 17268 17275 8632 17272 8615 1873 8603 1901 8666
101,4719 7785 11600 12398 13042 876 5832 3331 11962 2317
102,5900 5420 1270 5422 1267 5885 1261 183 5902 371
103,758 1890 10943 12943 14908 1949 9658 1945 1965 14953
104,12388 13665 2792 9145 2791 14367 9137 15698 2797 9140
105,6354 7001 10238 8023 17381 17376 17344 17308 9258 17259
106,13231 7001 10943 6354 16342 11057 1736 3958 1661 3976
107,1709 6139 4023 1715 3992 6112 1605 3994 1607 6039
108,758 1890 11973 11959 6956 11943 11944 7973 11940 7974
109,11057 8326 13231 16342 17585 1742 5880 5015 7702 8841
110,16342 11057 4265 1870 3814 11750 15118 1793 15120 11746
111,14109 2748 1259 2720 14107 1946 14102 1542 14851 2671
112,9807 9825 9658 9718 9746 9770 9776 9649 9818 9869
113,10500 7012 13914 9817 8697 13703 13058 12092 7887 10238
114,1890 15727 6974 15719 6991 15723 14188 6984 7004 6981
115,11057 16342 7305 17674 1433 11273 2067 6050 14883 9567
116,8666 8683 8603 8614 8615 1736 8632 8558 8676 8742
117,5300 5299 5317 2047 5305 9173 14677 14636 14622 14628
118,5015 15756 1870 1742 6922 8841 6579 5880 15685 10123
119,14037 10194 10238 17344 8281 17393 14029 8054 17259 7271
120,6118 4025 4023 4009 1715 3992 3994 3976 1669 1725
121,4265 13237 8326 9601 14368 5910 13549 4610 718 9000
122,4149 985 4126 953 5718 969 973 5724 17759 17751
123,758 11057 1890 16342 606 187 629 183 638 549
124,10943 615 17618 10066 17813 2109 7407 14029 16130 444
125,2587 2558 2660 2657 1402 2649 2671 2559 2464 2538
126,2846 12556 12575 15300 1117 14448 14923 6530 14449 14456
127,4719 7607 7336 13552 14257 13042 10404 6273 16820 2317
128,758 1890 4265 15685 6202 8841 5015 5880 1742 13526
129,9392 5212 14060 5250 10338 5367 2843 1086 8525 17068
130,17393 8242 17381 4737 12095 4730 12092 15750 10576 4204
131,2987 4887 758 8326 9392 1890 13231 11262 11214 15965
132,4022 7101 7096 4025 4023 9082 11302 14528 7075 14532
133,1283 1270 1261 1313 1267 5420 1467 697 5422 5414
134,3659 10500 13777 6804 8557 13755 13758 8558 8567 11240
135,758 1890 4240 5599 5665 5657 5640 790 223 5670
136,15831 6530 14397 14868 14448 12548 12556 14449 15880 12575
137,12412 11607 9401 7684 16260 16255 11613 7677 7693 7679
138,1586 14602 14107 14102 12402 6696 14851 1402 2587 6724
139,9403 9726 17048 17050 9402 9322 17854 17729 8926 17235
140,4719 8326 2657 1446 2649 1245 2660 6676 14226 2671
141,9392 6354 2204 7001 10943 2178 17556 4393 1261 13876
142,2381 5428 9567 9118 11262 5823 11273 5643 10589 10976
143,10943 7001 6354 758 12807 12748 1946 6823 6795 15337
144,6039 1607 4077 1554 1547 4055 1569 1551 6071 6051
145,731 5880 1870 15685 17961 7702 5015 17585 13526 6922
146,5292 5291 298 293 5300 291 5299 4914 4916 5305
147,654 5754 5761 494 150 652 5763 1213 663 4791
148,8326 13231 677 439 444 587 2027 482 2192 2200
149,16342 4265 11057 758 1890 6063 4093 1715 6041 6039
150,2152 11703 17813 7271 11034 16482 7268 7828 4225 4250
151,11140 11791 9038 8718 17784 12301 10950 13091 13010 18022
152,14045 16817 14031 14038 2569 17268 17625 12975 2553 8225
153,9770 9818 9649 9657 9658 9718 9746 9635 9807 9847
154,17228 6292 5713 6261 14955 14341 15109 1080 12665 5693
155,7926 7928 7904 7914 2161 7918 12983 7899 6115 15596
156,4265 13231 17661 8401 2087 12390 10484 12388 17660 10478
157,5880 731 1870 7702 6579 1742 8841 17585 13526 5015
158,13311 13314 15324 13249 13250 13289 15342 15347 13304 15318
159,10302 7083 10432 6940 5245 4887 2987 1185 5367 5250
160,5983 5980 6758 15373 6767 1374 5981 5974 15709 6011
161,6339 1189 2575 14884 16292 2616 12456 10948 11157 11694
162,11057 16342 4265 1890 13237 758 2271 13326 7160 16594
163,17048 8054 2790 16210 17161 10807 17344 7524 7319 17900
164,758 12943 4265 7089 8955 15031 12378 8946 8944 8942
165,17412 17854 16550 16856 7978 10288 16861 2301 17409 16543
166,5212 1890 758 9392 16342 11057 5367 5250 2843 14060
167,5321 14857 14835 14840 5340 5331 14849 14850 14831 14868
168,3659 10500 392 10123 3902 9352 13526 10068 6922 6579
169,4190 405 6011 1213 4448 4947 5004 1187 1261 407
170,15371 15539 6767 6822 6881 15392 15373 15563 15471 15467
171,17161 17907 13593 17911 7319 8139 7939 4837 17393 2109
172,13576 2843 5250 10338 14060 5367 758 1890 4265 11057
173,8326 17188 13231 17339 241 2924 17417 17540 9118 15965
174,8841 15685 17585 6922 5880 1742 731 6579 13526 6202
175,13231 758 1890 9392 11692 11694 4770 5789 5797 5234
176,4046 3113 4695 4795 258 246 169 12775 6661 8184
177,4719 8270 5275 5794 17273 2770 14125 11334 8774 11494
178,15917 14125 17273 5794 14267 8774 10137 5275 2770 10660
179,17393 17411 17376 10194 17381 17308 17409 17457 17442 17259
180,13231 15376 9125 9751 788 15812 17340 1492 9332 15092
181,5433 6940 9392 7083 5212 5245 17421 15148 7851 7433
182,13231 6354 7001 10943 4719 16342 11057 9555 11334 10137
183,4708 4887 8187 14220 11537 1185 2987 2970 8980 3157
184,10943 7001 17308 8054 8032 17954 9953 8417 8023 17203
185,13237 3690 13587 13569 3648 3661 3666 13521 3680 3631
186,14358 6156 1787 12682 3855 898 947 819 12686 14967
187,9352 17908 17373 13691 9875 10068 13227 17019 3902 14818
188,2178 2204 2797 11518 7374 7371 2791 2792 7356 2793
189,11057 4265 1946 14102 14491 14107 14473 14500 14109 11462
190,14923 14917 1647 14955 3459 14285 15785 3511 5786 14963
191,14691 13514 2655 2654 14687 16197 12975 14693 7329 14681
192,169 9392 5212 246 258 2830 16163 6580 16169 2817
193,169 10500 3659 6589 10432 5245 7083 6940 10302 258
194,14416 2688 14412 9775 9773 2699 6052 14426 9768 9782
195,9953 12292 17442 17416 17412 17411 17409 10066 12307 9895
196,16342 11057 7001 10943 6354 13237 1554 11116 6041 1725
197,2152 464 434 439 615 444 550 489 482 587
198,4719 758 1890 5367 2843 5250 4265 9567 2067 2068
199,2987 1185 4887 11057 4265 3707 11273 7577 17674 11262
200,5819 14448 6292 6293 3511 6404 5483 5925 1787 5603
201,14851 16079 15996 2808 14473 12748 12825 16076 16057 16105
202,4265 16634 13370 2504 13365 8335 8319 8308 13372 10721
203,6210 1890 758 169 7702 6202 10123 6922 731 17585
204,7290 17412 11034 17954 10267 7271 17259 10288 10066 17416
205,4719 3859 7599 12078 13163 12567 11133 12534 12478 4178
206,14259 14261 12548 12556 15785 2846 947 12686 14285 15880
207,9652 11475 13734 14378 7290 10906 7423 14052 7271 4162
208,6940 10432 7083 5245 10302 4887 2987 1185 2204 2178
209,271 6567 12746 12797 12803 12811 12784 12781 12750 7265
210,758 1890 5128 5275 8270 3817 8144 9555 10660 13357
211,10500 3659 4265 731 6202 5015 7702 1742 6922 5880
212,11273 2067 11262 2068 11214 4719 6050 17674 5428 5643
213,16919 16861 17207 17203 17161 17159 17050 17048 16946 16944
214,14456 15880 1117 6156 14448 14449 2846 15230 15785 6493
215,7962 7355 10194 17830 7642 17235 8023 8242 17813 9895
216,8326 4719 6129 5275 8270 8144 8627 5794 3572 3817
217,13237 2219 7036 12334 11394 7031 13521 16011 11389 7035
218,14004 1059 3853 17020 6339 12456 14751 2575 1189 11453
219,15880 3452 3176 3200 3208 3223 3154 3402 14102 3511
220,4077 6039 1569 4055 1554 1551 1547 1607 4094 6046
221,8371 10223 10553 8348 10339 16580 10349 10560 10226 10351
222,8326 13231 9567 15965 2067 11262 597 6223 241 5643
223,5066 5051 5086 5075 5074 5100 5027 5030 5105 5043
224,1890 758 464 2183 489 2109 2200 587 439 482
225,1946 12415 12402 12457 2720 15368 1581 1633 15363 15383
226,14668 4136 14656 4145 8127 14662 4142 4141 14664 14666
227,504 8718 15876 5898 7720 18022 11140 3075 2265 16342
228,5970 9125 17898 17340 1687 15697 11356 3251 1492 15376
229,758 10943 4190 5460 939 5066 405 213 932 5075
230,731 1870 8841 7702 6202 5015 5880 13526 6579 17585
231,9392 5212 9215 9140 9145 9153 9173 9178 9209 9255
232,10943 1833 7433 7851 15148 10962 9520 5928 6787 9744
233,13237 3035 11556 8573 3039 15752 8574 12507 5248 5253
234,1715 4009 4023 4022 6112 1605 1720 6041 4029 6039
235,758 1890 7638 4569 16033 17106 4106 4853 12378 16041
236,17578 6696 8023 6623 17259 8417 17409 8242 17911 8531
237,3410 14266 14276 8280 3408 3409 3403 3420 14264 6542
238,4795 14004 11453 3853 3759 13878 11501 16429 12456 11157
239,4502 7142 8242 14052 10754 4730 8996 7524 11738 15703
240,9392 5212 1890 13237 758 16342 11057 7095 12391 7096
241,12765 6210 7681 7264 84 16114 3890 1890 758 7679
242,5015 8841 1870 9865 17585 10123 6922 15685 13526 6202
243,16693 7309 2587 14107 1946 14102 7290 7319 7317 2559
244,1720 1725 3958 1661 1669 1709 1715 1648 1722 6139
245,758 1890 1446 2671 2687 2720 2748 2762 2657 2424
246,758 1890 12943 1569 6118 1669 6103 4055 1725 1715
247,12752 9643 16922 16920 14377 16930 1709 12760 1715 12725
248,16342 11057 758 1890 13111 12983 13113 11756 13361 12839
249,7681 3890 6210 12765 16114 84 5664 5661 2610 650
250,10943 6354 7001 16807 267 9402 12307 14052 12292 9342
251,1890 758 271 1283 1270 1261 1267 1313 5212 4126
252,13237 6530 1117 14923 12575 12548 14448 14868 14397 12584
253,5403 12292 512 4430 11823 516 517 8838 4106 4427
254,13237 4265 11620 15719 9075 8513 10223 15723 15698 9082
255,4986 4322 5004 1013 4304 629 4306 249 248 5665
256,3759 17207 17203 17854 2307 10066 17737 7347 7355 17740
257,271 6567 14519 8033 15392 3219 14529 6454 1641 2388
258,9392 5212 5250 14955 17412 17442 10540 14259 5483 1117
259,1890 758 10943 4430 4532 4470 4448 4434 4530 4495
260,4265 11057 16342 3958 6139 3992 3976 4009 3955 4022
261,2178 2204 10678 17921 7524 17556 15676 7505 9953 7480
262,13237 12943 4265 6103 1725 3958 4023 4009 1730 3955
263,4265 12456 1189 17540 3342 17020 16292 11840 3853 2616
264,1949 9401 15727 17002 12788 1945 9422 6902 12792 9423
265,4149 4729 331 333 4240 5754 4151 825 339 4865
266,5572 5399 3136 12682 5819 12686 14955 6493 745 5577
267,7001 6354 10943 13613 2979 13622 2972 2974 13665 2997
268,4887 2987 11692 11694 5823 2924 6050 7577 241 14883
269,7371 17495 16856 7347 17050 7355 9817 8531 17376 14029
270,13237 758 1890 13231 16170 10197 16260 6791 10184 12575
271,17340 9125 11027 1492 15812 11235 9332 15092 12702 15697
272,2987 4887 10500 3659 745 5693 5713 746 15880 12740
273,4023 1725 1669 1709 1715 1648 1722 4009 1736 3992
274,4719 8326 5794 5128 14267 10660 8627 8144 8774 9555
275,5250 5367 10338 14060 14107 14109 12356 11471 12820 9601
276,7839 12348 16619 16618 1736 1730 16608 16594 3958 13804
277,13231 13884 14652 15646 17343 16875 3957 14267 11356 6461
278,6579 13526 15685 1870 17585 9865 8841 5015 1742 731
279,5367 5250 10338 2843 14060 13576 3474 17254 15010 9776
280,8557 13821 16885 16883 8558 12297 1764 6248 12309 3694
281,10500 3659 13691 12711 2782 17373 552 17019 10068 13227
282,1890 758 213 5249 223 675 838 5247 5665 4376
283,7423 10066 17442 17921 17813 7290 7407 14052 7271 8281
284,13231 7001 17159 17161 17457 17854 10194 17442 8281 17954
285,17228 7715 5390 13310 10121 14384 13946 15887 5841 6361
286,17854 17442 17409 17411 17412 17376 8023 8054 4162 17907
287,4887 1185 2987 13231 2671 2808 14491 1542 1446 2464
288,4795 8326 7577 17188 5428 11262 14587 9118 11273 17339
289,758 1890 12402 12410 12356 12415 10500 3659 4902 4900
290,10546 9635 10535 15805 15796 10536 10537 15789 15787 15786
291,5250 10943 10338 5367 14060 2843 13576 2720 6261 5620
292,6344 4569 7638 6477 6349 9527 13884 3957 14652 16875
293,3659 10500 4265 13237 4795 16342 11057 10309 5433 15646
294,3459 12575 1787 5483 5649 6356 3154 3560 1080 5786
295,1236 14109 1245 1205 1633 14491 1882 2808 1232 14500
296,169 13237 246 258 4265 8187 8980 4708 14220 2970
297,6202 731 8841 15685 7702 1742 6922 13526 9865 10123
298,5212 271 9392 2737 13044 2739 16011 16020 9401 7574
299,758 3659 10500 1890 16220 13918 16509 17490 13606 14899
300,17495 17381 17752 17412 17954 17411 17911 14037 4162 7347
301,2109 464 587 439 489 434 550 615 677 444
302,13606 16220 14899 16432 17420 12138 15770 13918 17245 12872
303,1890 758 2204 2178 13163 7220 4847 8693 11133 7599
304,16342 11057 4265 5212 9392 5643 17339 17188 3707 10589
305,6567 271 12409 7509 12710 12709 7508 7506 12395 12677
306,11057 8326 1890 4265 758 7433 15148 9945 6865 232
307,5403 12175 12199 12141 12160 677 12167 12130 12184 12272
308,745 12556 1005 3586 746 5545 12548 14259 6356 14261
309,9392 5212 2126 2138 15040 9879 15037 15049 15031 15010
310,13231 758 14038 6661 3174 2271 3179 8395 3164 6667
311,4265 731 6579 6202 15685 1870 9865 1742 8841 7702
312,6404 3593 3402 14285 14923 6493 1117 3586 6356 6006
313,9635 9649 9423 9425 9446 9534 9543 9573 9596 9606
314,13231 12807 12820 12825 12748 16115 2687 14593 15589 1576
315,4610 1239 718 9000 216 13839 13549 4341 3712 18014
316,8326 11057 16342 2558 9445 2559 17553 16919 15589 1402
317,4719 10121 13310 15887 13237 14384 13946 8944 15060 15073
318,11057 1833 15148 7433 4518 10962 6787 7879 8372 9520
319,1554 1551 1547 10943 2987 4887 1185 11096 8955 17129
320,1890 758 4719 3853 2575 1059 3759 14751 16292 13878
321,5212 13304 12908 13294 13296 12936 13085 13098 13289 13311
322,17340 11027 9125 1492 2186 7055 4977 15697 16394 12702
323,4795 17956 18014 11471 12321 15103 5676 13063 9441 216
324,1261 1267 1270 1283 1313 9392 5212 4887 1185 2987
325,4659 5209 654 4667 5051 1040 4843 272 663 652
326,12748 6356 15230 5922 14219 1005 5849 3223 1503 2559
327,1267 1270 1283 1261 1313 5212 6865 5928 15148 10962
328,4265 758 1890 1661 6974 6981 12695 12708 12658 1669
329,2386 14107 12556 1633 14917 15880 14500 2587 1586 14923
330,11057 16342 13576 14060 10338 2843 5367 5250 1185 2987
331,3659 10500 1421 1365 1374 1381 1384 1362 1422 1499
332,9895 9224 8139 2027 9164 17393 9953 17737 17381 17830
333,1890 758 13231 2204 2178 13237 4265 16342 11057 5212
334,13237 4265 7929 7968 7897 7915 7919 7870 7964 8009
335,758 11057 16342 1890 9392 5212 4795 4265 4900 5051
336,2587 1402 2456 1882 1503 2464 2538 2544 2649 1946
337,758 1890 2019 13830 13848 6406 8371 2545 6431 9879
338,3659 10500 9423 10857 12760 7463 8441 7464 9425 10871
339,9527 7638 4569 6477 4719 11756 13314 12839 11887 13311
340,758 13231 1890 3976 3958 1709 1715 1720 1669 1730
341,15880 2846 12584 3459 3452 15785 5870 15831 1117 12548
342,11057 16342 10754 7423 7768 10066 17737 17344 7611 16543
343,6354 7001 10943 3331 7785 13042 876 11962 12398 5832
344,3572 5794 17273 6129 8774 15917 11494 1986 14267 2770
345,12478 11055 11133 10979 12800 8693 13139 363 7220 15593
346,10500 3659 7001 6354 10943 3075 3705 11140 13091 6632
347,11057 9392 5212 758 1890 4265 3223 12707 745 12740
348,15832 2997 6203 3558 6956 9746 6200 15835 11274 9776
349,13803 10374 4378 16690 14450 3660 16700 4373 14443 3668
350,2187 16249 10320 11389 2182 13068 11394 13731 13941 7064
351,6940 10302 10432 7083 6589 5245 14481 9422 9401 14480
352,1433 7577 2067 2068 11262 14587 15965 11273 11214 5823
353,4795 10678 10624 16445 7309 7317 10689 16482 10753 7319
354,12943 4265 1890 10943 758 7929 9825 15470 15488 15495
355,4795 7851 5632 998 17502 2340 3839 17421 8161 11633
356,4719 8270 3817 9555 8774 8627 8435 6129 4980 8144
357,4719 10943 7001 6354 2541 1966 1012 17728 620 16650
358,13231 9718 6112 13281 3428 13279 16594 6118 13277 7064
359,16154 6661 6678 16162 9341 3573 6667 6646 13326 9329
360,8326 2067 10976 14883 7305 9118 5643 11273 17674 9567
361,11057 16342 4887 1185 2987 13804 13788 13777 13821 13809
362,15039 1059 2616 11840 1189 14751 16429 6461 6339 12456
363,7939 9790 9817 7962 444 7978 439 16861 434 10753
364,10943 6354 7001 15703 16778 16807 10576 16130 10843 7423
365,758 1890 1614 3958 1720 4025 4023 1722 1619 1725
366,1890 758 8627 10137 4980 8144 14267 5794 9555 3572
367,10943 7001 6354 4023 1715 1720 4022 3992 1709 1722
368,13231 9567 2068 6223 17674 149 597 5428 2067 14883
369,13231 5401 5392 4306 5424 5422 5420 5414 5410 4322
370,758 5713 14917 14955 15230 5675 5679 5693 14963 14923
371,758 1890 13231 4265 5245 7083 6940 15508 11633 10962
372,3659 10500 13091 13010 12301 11791 9038 13223 4569 7638
373,480 5221 5207 5209 5213 460 4322 494 5234 5186
374,4322 1086 1107 1103 5392 4304 4306 272 5388 6011
375,13231 4265 2178 2204 4695 4980 10660 8774 8627 5245
376,16342 11057 2204 2178 4265 3992 3958 2200 4009 3994
377,1715 16280 16290 1709 14119 14116 10298 1720 16278 16297
378,9392 5212 11057 16342 5599 5326 4630 4244 4635 4406
379,1720 3958 1730 1722 3953 4009 3955 4093 4094 1569
380,14587 5643 597 4764 9567 17674 149 5428 6050 5823
381,11057 13231 9306 232 17475 9520 5632 2382 763 1623
382,5763 4304 512 4924 4614 516 4306 4322 4789 697
383,13237 16020 3869 16024 12272 13879 16021 10245 13877 17140
384,6210 7264 12765 16114 3890 7681 84 13237 758 1890
385,6356 14963 3686 1647 5434 5399 5922 14967 6016 14955
386,2178 2204 4395 3342 11157 10948 6461 6339 6188 11501
387,2559 1946 1232 1236 2649 14491 2720 14107 2424 2587
388,5123 4852 7317 9855 7319 7309 10834 8531 13449 17729
389,1890 2178 2204 758 1647 921 3713 947 952 5517
390,1185 4887 2987 16342 11057 10338 7001 2204 5367 6354
391,6050 11262 3707 7305 6223 7577 10589 11273 17339 9118
392,2204 2178 9392 5212 2118 2121 2126 2109 2138 2152
393,2297 4404 2303 2302 12556 4398 7474 4405 7479 2294
394,10432 10302 758 1890 5245 6940 7083 8054 8032 17618
395,4265 9945 2340 4518 17126 7851 1189 7879 4395 9941
396,10943 14480 14466 16223 14468 16216 14474 16207 14479 16200
397,5433 169 246 258 4244 405 7505 407 5763 4240
398,17585 731 4795 6922 3113 15756 5880 8841 1870 7702
399,15965 11273 7577 17339 597 17188 5428 10976 9118 2924
400,13231 14267 5794 8774 6129 15917 17273 3572 5245 10302
401,5212 5780 5763 1070 5789 1086 5779 453 5797 1040
402,9099 11676 7724 16991 13848 16996 11678 15091 6071 9094
403,4406 5401 4393 4396 7347 5410 5414 10267 4413 405
404,12943 9392 1730 3992 1648 1607 3994 4009 1661 1725
405,4795 5433 5572 2559 2558 5347 2544 12548 5870 5580
406,5388 5401 1187 4900 4896 272 895 5815 5833 5392
407,14405 9776 2087 2094 9770 15507 2084 17277 12066 6839
408,10500 3659 4569 13895 12269 12271 14666 12278 12286 13892
409,6981 12130 12160 7693 6956 7684 7679 7677 6971 6974
410,4265 1890 11057 16342 11155 8270 5275 10660 8774 3817
411,11057 16342 9392 5212 2843 14060 5250 5367 13576 10338
412,4914 272 4430 640 4924 4434 895 4920 5221 4916
413,16342 11057 8118 10316 12658 10320 6728 12651 15993 1843
414,4719 10943 6202 8841 1742 5880 731 15685 1870 6922
415,2418 10330 10348 3931 17147 13092 10339 13112 17140 10351
416,17381 17921 17900 16861 8054 8032 17907 8023 17911 8139
417,1890 758 13237 9392 8666 10478 16437 16436 10470 12348
418,4265 13231 328 1086 5013 190 5027 187 5004 732
419,5212 4376 4388 4306 4322 4362 187 4412 4396 1213
420,15646 13884 17343 3957 14652 16875 4265 6349 7001 2987
421,13237 12943 1547 1554 1551 4265 11155 8270 2770 11334
422,5212 9392 4795 1801 5676 216 13549 15436 3712 13839
423,14536 14500 15880 15486 15230 12584 14448 12575 15538 15487
424,1569 6139 1547 4025 1551 1554 4055 4022 4093 4094
425,2987 1185 4887 11057 5212 6793 16751 8982 4362 8976
426,3593 840 1836 3176 3511 3713 3208 3686 3223 6156
427,17740 7355 17759 17752 17751 17159 17161 10678 7371 9817
428,1229 1232 12473 2657 2649 2665 2587 1236 2671 1633
429,1890 9392 758 5212 2204 2178 3992 16949 8184 16943
430,17207 17670 17495 17203 17409 17752 8032 17751 17578 17830
431,3707 2924 2381 6223 7577 17188 9118 6050 17339 7305
432,5212 6354 10943 7001 3786 985 3768 17356 15337 3802
433,11057 16342 10500 3659 6354 10943 7001 5230 5240 5216
434,6619 12378 15463 13622 8465 12370 12371 17272 7107 6622
435,4265 2178 2204 13237 13231 2655 1709 1824 2528 17106
436,11057 10943 4265 6354 7001 9392 5212 2987 4887 13231
437,2843 14060 10338 13576 5367 9392 10943 12943 758 15831
438,1554 11620 11614 2682 2690 11625 2697 17089 7224 11607
439,10500 3659 3157 14220 11076 11537 2970 4708 14932 4144
440,17421 3839 3799 15148 232 17012 9945 5632 6865 2382
441,4719 10500 3659 4265 17029 11600 876 12922 9737 7785
442,6354 10943 7001 12748 12807 12820 12825 1890 758 6112
443,4265 8942 8946 8833 8854 8871 8910 8920 8936 8938
444,13237 2204 2178 15259 16751 8233 8752 16457 13677 2362
445,758 12750 12746 7354 12791 12797 7265 12803 12781 12784
